 maxtemp,dewp,meanrh,meantemp,mintemp,rain
32.9571428571,24.4,79.8571428571,28.3714285714,25.8857142857,7.6
32.9,24.5428571429,82.7142857143,28.0142857143,25.3428571429,10.5571428571
34.6,24.2857142857,75.2857142857,29.4,26.0571428571,5.12857142857
32.7142857143,24.7857142857,83.1428571429,28.0571428571,25.5142857143,12.6571428571
33.4,24.8428571429,82.7142857143,28.3571428571,25.5571428571,14.5428571429
32.6428571429,24.8857142857,84.4285714286,28.0,25.7714285714,3.92857142857
32.5428571429,24.4,79.2857142857,28.5571428571,26.2285714286,8.02857142857
33.7,24.4,79.8571428571,28.4285714286,25.3571428571,3.41428571429
33.6142857143,24.1285714286,79.2857142857,28.2571428571,25.2571428571,10.6142857143
31.4,24.8857142857,88.8571428571,27.0142857143,24.8142857143,21.7142857143
32.2285714286,24.4428571429,83.7142857143,27.6714285714,24.8714285714,12.7285714286
34.6142857143,24.1571428571,74.0,29.6714285714,26.0285714286,6.65714285714
33.9571428571,22.8714285714,69.5714285714,29.3,25.5,0.0
33.3285714286,22.7857142857,69.8571428571,29.0714285714,25.7571428571,0.128571428571
34.3714285714,21.0714285714,62.7142857143,29.3428571429,25.5142857143,0.0
34.3142857143,20.6714285714,60.2857142857,29.5285714286,25.5714285714,0.0
34.7285714286,21.5857142857,64.5714285714,29.4285714286,25.4857142857,0.0
32.8428571429,19.6857142857,62.2857142857,27.8857142857,24.1714285714,0.1
31.2,17.3142857143,60.4285714286,25.7571428571,21.7714285714,0.0
32.1,18.6285714286,61.4285714286,26.8714285714,22.8714285714,0.0
30.8428571429,17.2571428571,59.7142857143,25.9714285714,21.4142857143,0.0
33.1428571429,22.2285714286,70.4285714286,28.5142857143,25.2571428571,0.642857142857
32.4714285714,18.8857142857,60.8571428571,27.3,23.2,0.0
33.8428571429,23.8428571429,76.0,28.7571428571,25.7714285714,0.285714285714
33.4571428571,23.8142857143,78.0,28.3571428571,25.4714285714,5.04285714286
32.0285714286,23.6285714286,78.7142857143,27.8714285714,24.8857142857,9.42857142857
33.2285714286,24.6285714286,79.2857142857,28.8,25.6428571429,0.157142857143
33.6,24.6857142857,78.2857142857,29.0714285714,26.1285714286,0.0285714285714
34.5142857143,22.6571428571,69.7142857143,29.1571428571,25.0,0.0
34.9428571429,24.8714285714,74.1428571429,30.1428571429,27.1857142857,0.0
35.4142857143,24.3142857143,72.5714285714,30.2571428571,27.2857142857,0.0
35.5285714286,25.1857142857,74.5714285714,30.5571428571,27.2714285714,0.0
36.2,23.5285714286,68.5714285714,30.4,26.9714285714,0.428571428571
36.7142857143,24.5,70.4285714286,30.8,27.6,3.01428571429
35.4571428571,23.8142857143,72.4285714286,29.7857142857,26.3142857143,5.31428571429
36.1428571429,24.7285714286,72.8571428571,30.6857142857,27.2571428571,0.0
37.5571428571,25.6142857143,69.5714285714,32.1571428571,28.8142857143,1.8
38.5857142857,25.0714285714,67.1428571429,32.6571428571,28.9142857143,0.9
37.0571428571,25.2,69.8571428571,31.6285714286,28.3142857143,4.04285714286
35.9714285714,24.6428571429,71.1428571429,30.7285714286,27.2714285714,0.828571428571
35.3,24.4714285714,75.8571428571,29.7571428571,26.3142857143,7.25714285714
35.2714285714,25.0285714286,73.5714285714,30.5571428571,27.8857142857,0.157142857143
34.6142857143,25.5,80.1428571429,29.6142857143,27.2,6.62857142857
34.7,24.9428571429,76.4285714286,29.6714285714,27.0,5.44285714286
33.9714285714,24.3571428571,75.1428571429,29.4285714286,26.7142857143,6.55714285714
34.1285714286,24.0857142857,72.4285714286,29.6571428571,26.7571428571,0.514285714286
33.6285714286,24.2142857143,74.7142857143,29.2571428571,26.8857142857,5.24285714286
34.6428571429,24.4428571429,76.5714285714,29.1857142857,26.3428571429,2.41428571429
33.2428571429,24.8857142857,81.8571428571,28.6142857143,26.1285714286,16.1714285714
33.6857142857,24.2571428571,76.8571428571,28.9714285714,25.9142857143,4.28571428571
33.2142857143,24.1,79.7142857143,28.2714285714,25.9285714286,4.6
33.1857142857,23.8857142857,74.8571428571,28.9142857143,26.2857142857,1.14285714286
33.2,23.8857142857,77.4285714286,28.3714285714,25.8714285714,9.37142857143
33.2285714286,24.1428571429,82.1428571429,27.9285714286,25.2142857143,11.9571428571
34.1857142857,24.5857142857,77.7142857143,29.0857142857,26.0285714286,2.31428571429
33.0285714286,24.6714285714,80.8571428571,28.2428571429,25.7857142857,4.47142857143
32.2571428571,24.3857142857,83.4285714286,27.7714285714,25.4142857143,8.6
33.5,24.7428571429,84.4285714286,27.8857142857,25.4142857143,24.9428571429
33.1285714286,25.0857142857,86.8571428571,27.6428571429,25.1428571429,15.4142857143
32.8428571429,25.0857142857,86.5714285714,27.6714285714,24.8428571429,34.9
33.2428571429,24.8714285714,81.7142857143,28.4857142857,25.6714285714,11.3714285714
32.1142857143,24.8571428571,86.1428571429,27.6428571429,24.9428571429,10.1428571429
34.1142857143,23.8571428571,74.1428571429,29.2714285714,25.9571428571,1.44285714286
35.1857142857,23.6714285714,70.4285714286,29.9142857143,26.4285714286,1.5
33.4714285714,24.0857142857,77.2857142857,28.7857142857,25.7571428571,4.28571428571
35.2857142857,24.6285714286,76.5714285714,29.5714285714,26.1857142857,0.757142857143
33.4428571429,24.2857142857,77.4285714286,28.8571428571,26.1428571429,1.87142857143
32.9857142857,24.9142857143,82.4285714286,28.4142857143,26.0714285714,5.87142857143
32.6571428571,24.6714285714,84.7142857143,27.7,24.7285714286,4.2
33.7428571429,24.4428571429,78.7142857143,28.7285714286,25.6857142857,0.157142857143
34.2571428571,23.3142857143,71.8571428571,29.0428571429,25.7142857143,1.0
35.0142857143,22.4857142857,64.2857142857,30.1428571429,26.2428571429,0.0
34.1285714286,20.2,62.1428571429,28.4571428571,24.3714285714,0.0
33.0,19.0428571429,62.4285714286,27.3142857143,22.8,0.0
33.8428571429,21.0857142857,67.2857142857,28.3428571429,24.1571428571,0.314285714286
33.2285714286,18.4571428571,59.0,27.6428571429,23.1,0.0
32.8428571429,23.8571428571,78.1428571429,28.3714285714,25.3571428571,4.05714285714
32.7285714286,22.3857142857,72.8571428571,27.9571428571,24.8,1.51428571429
34.1,24.4285714286,75.7142857143,29.4714285714,26.5571428571,0.614285714286
35.0571428571,23.4142857143,70.2857142857,29.9142857143,26.2,0.442857142857
35.2285714286,22.0285714286,64.2857142857,30.0,26.1857142857,0.0
34.0428571429,24.3428571429,75.7142857143,29.4285714286,27.1571428571,3.65714285714
34.7428571429,22.7857142857,69.0,29.3714285714,25.7428571429,0.0
35.5857142857,24.7285714286,73.8571428571,30.1857142857,27.4428571429,0.9
36.5285714286,25.0857142857,72.5714285714,30.9714285714,27.8285714286,0.871428571429
37.6571428571,25.1857142857,71.0,31.7,28.4285714286,0.0
37.8,24.3714285714,66.1428571429,32.0142857143,28.3,0.0
35.2857142857,24.8285714286,75.5714285714,30.0857142857,27.4428571429,10.1857142857
35.8714285714,24.7428571429,73.0,30.5428571429,26.9,0.685714285714
35.8142857143,25.1285714286,71.8571428571,31.0428571429,28.3571428571,1.97142857143
37.0857142857,25.0285714286,69.0,31.7142857143,28.7428571429,5.44285714286
36.6142857143,25.7285714286,72.2857142857,31.6428571429,28.5285714286,0.8
37.0,25.4571428571,71.4285714286,31.7428571429,27.9142857143,5.94285714286
35.3428571429,24.9285714286,75.1428571429,30.1142857143,26.7,6.07142857143
35.8428571429,24.8571428571,74.5714285714,30.2285714286,26.8857142857,3.4
34.3285714286,25.2142857143,80.1428571429,29.2285714286,26.3857142857,12.0285714286
33.6571428571,25.2571428571,83.8571428571,28.4714285714,26.1714285714,9.08571428571
33.5428571429,25.3142857143,80.8571428571,29.0857142857,26.9571428571,3.4
34.5,24.2714285714,75.1428571429,29.4857142857,26.6428571429,0.5
33.7285714286,24.8428571429,78.2857142857,29.2428571429,26.6142857143,9.85714285714
33.1285714286,24.2571428571,78.4285714286,28.6,25.9285714286,3.98571428571
32.9714285714,23.6714285714,75.7142857143,28.5428571429,26.0,1.34285714286
32.2142857143,24.8857142857,84.1428571429,27.9714285714,25.8142857143,12.4
33.3428571429,24.4,80.1428571429,28.3571428571,25.8714285714,7.27142857143
34.3571428571,24.9857142857,80.0,29.1142857143,26.3714285714,8.57142857143
33.6285714286,24.3,78.7142857143,28.6142857143,25.6857142857,2.54285714286
32.7571428571,24.0285714286,79.5714285714,28.1285714286,25.6571428571,10.4714285714
34.8571428571,24.8142857143,78.1428571429,29.3,26.1285714286,5.24285714286
34.1285714286,24.4857142857,78.7142857143,28.8,26.2285714286,5.88571428571
32.1714285714,25.1,86.5714285714,27.6714285714,25.1571428571,27.5
30.9,24.3,85.1428571429,27.1285714286,25.0285714286,12.8714285714
33.1,24.5285714286,81.2857142857,28.2,25.5142857143,5.75714285714
31.9142857143,24.5,84.8571428571,27.4428571429,24.9428571429,20.5428571429
33.3571428571,24.2285714286,77.7142857143,28.7857142857,25.7571428571,1.54285714286
31.7285714286,24.5285714286,84.2857142857,27.7,25.1857142857,30.3857142857
34.0142857143,22.8857142857,71.1428571429,28.9428571429,25.4285714286,3.57142857143
34.9428571429,22.6,68.0,29.6142857143,25.5714285714,0.0
33.0,23.0142857143,75.2857142857,28.1857142857,24.9285714286,5.5
32.8285714286,23.7571428571,78.4285714286,28.0714285714,25.4,4.21428571429
33.0714285714,22.6428571429,72.8571428571,28.2285714286,25.2571428571,1.61428571429
32.8142857143,21.1714285714,68.2857142857,27.8714285714,24.4428571429,0.0857142857143
31.7,18.2142857143,62.7142857143,26.2571428571,21.9571428571,0.0
33.2285714286,21.1857142857,68.7142857143,27.8142857143,24.0142857143,0.228571428571
28.7571428571,15.2714285714,62.0,23.2428571429,19.0,0.0
29.3571428571,14.5285714286,59.0,23.4714285714,18.9714285714,0.0
33.5142857143,18.6857142857,65.4285714286,26.3285714286,21.3,0.0
33.1285714286,18.7714285714,61.2857142857,27.4428571429,23.1571428571,0.0
29.8571428571,13.4,52.2857142857,24.0571428571,19.6,0.0
31.1142857143,14.7142857143,58.2857142857,24.1714285714,18.8857142857,0.0
33.9,20.4142857143,68.7142857143,27.4714285714,23.2142857143,0.0
33.3714285714,22.0857142857,73.5714285714,27.6857142857,24.4714285714,0.0
33.4428571429,23.0,75.0,28.1857142857,25.3857142857,0.3
32.7142857143,21.8857142857,72.7142857143,27.5571428571,24.5285714286,0.0
33.7,23.5571428571,76.4285714286,28.3571428571,25.4857142857,0.0
34.0857142857,23.5,73.8571428571,28.9285714286,26.0285714286,0.0
35.5285714286,24.3142857143,72.4285714286,30.1,26.9142857143,0.0
34.5428571429,24.6,75.2857142857,29.6857142857,27.0142857143,5.65714285714
35.3,25.1285714286,74.7142857143,30.3714285714,27.6571428571,0.0
36.4857142857,24.4,71.0,30.7285714286,27.4571428571,0.0
36.4857142857,24.5428571429,70.5714285714,30.9142857143,27.7285714286,0.0142857142857
37.4571428571,25.1857142857,69.2857142857,31.9,28.6571428571,0.0
37.4428571429,25.6857142857,71.0,31.9571428571,29.0,0.0
36.7714285714,25.6142857143,75.2857142857,30.7714285714,28.0285714286,3.84285714286
37.6285714286,24.8857142857,70.5714285714,31.3285714286,27.4714285714,3.08571428571
37.0571428571,24.5571428571,66.8571428571,31.8857142857,28.5285714286,0.0428571428571
37.9714285714,24.9285714286,67.5714285714,32.0142857143,28.7571428571,4.35714285714
37.1428571429,25.4,71.4285714286,31.5428571429,27.2571428571,5.88571428571
35.3714285714,25.2285714286,75.4285714286,30.3285714286,27.1857142857,1.32857142857
34.4857142857,25.4714285714,78.8571428571,29.7571428571,27.6714285714,9.11428571429
34.8,24.9714285714,76.5714285714,29.7857142857,27.3857142857,7.05714285714
34.4428571429,24.7714285714,76.2857142857,29.6714285714,27.1714285714,1.71428571429
35.4571428571,24.7857142857,72.1428571429,30.5571428571,27.4857142857,3.1
34.0571428571,24.6,76.7142857143,29.3571428571,26.3,4.54285714286
33.6,24.5571428571,78.1428571429,28.9571428571,26.8428571429,2.68571428571
33.9857142857,24.1,75.1428571429,29.1571428571,26.7857142857,2.64285714286
33.2285714286,24.8142857143,81.1428571429,28.5571428571,26.1571428571,10.4857142857
33.8285714286,24.4,78.5714285714,28.7285714286,25.7285714286,4.7
34.6428571429,25.3714285714,78.7142857143,29.6142857143,26.5,4.77142857143
34.8714285714,25.2428571429,81.4285714286,28.9857142857,26.0428571429,12.5714285714
32.6571428571,23.9428571429,79.4285714286,28.0142857143,25.4571428571,10.1714285714
34.0857142857,24.1142857143,78.7142857143,28.4285714286,25.4,3.58571428571
34.2857142857,24.7285714286,78.5714285714,29.0285714286,26.1714285714,7.78571428571
34.6428571429,24.6,74.5714285714,29.8857142857,26.8285714286,0.928571428571
34.2,25.5571428571,84.2857142857,28.6142857143,25.9571428571,12.3428571429
33.8142857143,24.3714285714,80.7142857143,28.1857142857,25.4714285714,4.17142857143
33.4571428571,24.1142857143,78.7142857143,28.5,25.4571428571,8.87142857143
33.9571428571,23.4714285714,73.4285714286,29.0,26.1428571429,10.0571428571
32.9142857143,25.0142857143,85.8571428571,27.7285714286,25.3714285714,7.38571428571
33.5,25.0285714286,82.7142857143,28.4857142857,25.8,1.84285714286
34.3714285714,24.8285714286,78.8571428571,29.2,26.1571428571,1.71428571429
34.3857142857,22.4428571429,66.4285714286,29.6,25.8571428571,0.0
34.8,21.2428571429,64.5714285714,28.9428571429,24.8857142857,0.0
34.5142857143,24.5,75.4285714286,29.5857142857,26.9,0.314285714286
33.3,23.1,72.7142857143,28.8571428571,25.7,1.54285714286
32.6857142857,19.2,60.4285714286,27.8571428571,24.0571428571,0.0
31.3571428571,16.8142857143,59.0,25.6428571429,21.7571428571,0.0
32.9571428571,20.3428571429,65.8571428571,27.6142857143,23.6428571429,2.82857142857
32.5142857143,18.7285714286,64.0,26.4571428571,21.9857142857,0.0142857142857
29.7,18.9142857143,68.0,25.6,23.0142857143,0.171428571429
31.8285714286,15.3714285714,55.0,25.6,20.5285714286,0.0
33.6571428571,20.9714285714,70.1428571429,27.5714285714,23.5285714286,0.0
33.8285714286,21.1428571429,68.2857142857,28.0857142857,24.5142857143,0.314285714286
33.8428571429,17.0857142857,54.5714285714,27.7285714286,23.1857142857,0.0
33.3,23.0,74.4285714286,28.2142857143,25.7285714286,1.54285714286
34.1428571429,23.5571428571,75.1428571429,28.6714285714,25.7428571429,0.857142857143
34.3857142857,24.4142857143,76.2857142857,29.3,26.7857142857,0.0571428571429
35.2571428571,24.7714285714,75.0,29.9285714286,27.1857142857,0.0
34.9285714286,24.8571428571,75.1428571429,30.0,27.4428571429,0.0
34.2857142857,24.8142857143,79.1428571429,28.9571428571,26.4857142857,16.7285714286
34.8571428571,24.1571428571,73.7142857143,29.6285714286,26.2714285714,9.48571428571
35.5857142857,24.5428571429,71.5714285714,30.6,27.7857142857,8.02857142857
35.1285714286,22.5714285714,68.2857142857,29.6142857143,25.7285714286,5.77142857143
37.0285714286,24.8857142857,70.4285714286,31.4,28.0714285714,0.0857142857143
34.6,24.6285714286,77.4285714286,29.2428571429,26.4142857143,3.94285714286
36.0571428571,26.0857142857,76.2857142857,31.0285714286,28.6,6.25714285714
36.3285714286,26.3142857143,76.5714285714,31.1571428571,28.4285714286,3.94285714286
36.4,24.6,70.4285714286,30.8857142857,27.6,0.185714285714
35.9,24.6571428571,70.4285714286,30.9,27.7142857143,1.98571428571
36.8428571429,24.4857142857,67.2857142857,31.5571428571,27.7428571429,0.571428571429
36.8142857143,25.4142857143,72.5714285714,31.3714285714,26.9571428571,34.6428571429
34.6857142857,25.4,78.2857142857,29.8857142857,26.2857142857,28.0
34.3142857143,24.5285714286,76.1428571429,29.4285714286,26.2428571429,2.08571428571
34.7142857143,23.9714285714,71.8571428571,29.8285714286,26.9428571429,0.271428571429
35.5714285714,24.4285714286,70.5714285714,30.6428571429,27.6714285714,2.25714285714
35.4857142857,24.4714285714,70.8571428571,30.5142857143,27.2142857143,4.2
33.4285714286,24.8714285714,78.5714285714,29.1,26.7857142857,5.55714285714
34.7142857143,24.6,75.7142857143,29.6714285714,26.2571428571,17.0714285714
32.7571428571,24.1428571429,81.5714285714,27.8285714286,24.7,5.88571428571
34.8,24.1285714286,71.4285714286,30.0571428571,26.8571428571,0.0428571428571
35.8428571429,24.5571428571,71.7142857143,30.5714285714,27.2857142857,0.0
34.6571428571,23.8,68.8571428571,30.2285714286,27.5,0.314285714286
34.4571428571,24.6285714286,77.2857142857,29.2714285714,26.3714285714,4.38571428571
35.5142857143,24.5571428571,73.8571428571,30.0428571429,26.7142857143,5.62857142857
32.4714285714,25.1428571429,86.1428571429,27.8714285714,25.5428571429,18.8714285714
33.9142857143,25.0571428571,81.7142857143,28.8142857143,25.9428571429,10.9714285714
34.2142857143,25.2857142857,81.0,29.0857142857,25.8714285714,13.9142857143
30.8571428571,25.4142857143,89.7142857143,27.3428571429,25.2142857143,22.8857142857
31.9714285714,24.6714285714,84.2857142857,27.6714285714,25.0142857143,11.8571428571
34.1,25.0857142857,79.0,29.3857142857,26.3428571429,0.814285714286
33.9857142857,24.1857142857,76.0,29.1285714286,26.3857142857,7.34285714286
34.3,23.9142857143,73.8571428571,29.3714285714,26.0,4.87142857143
33.6142857143,24.7857142857,78.0,29.2428571429,26.3,1.1
34.6714285714,25.3142857143,79.7142857143,29.4571428571,26.5714285714,3.28571428571
35.4714285714,23.9428571429,71.0,30.1142857143,26.8285714286,0.571428571429
34.5857142857,23.4285714286,69.4285714286,29.9285714286,26.5857142857,0.0
33.1428571429,23.5571428571,76.8571428571,28.2571428571,24.9428571429,6.1
34.3,24.0714285714,74.2857142857,29.4428571429,25.8142857143,0.0
31.7142857143,19.6857142857,65.1428571429,27.0285714286,22.6142857143,0.0
34.1,22.9428571429,70.1428571429,29.3285714286,25.8,0.0
33.9285714286,20.7142857143,65.2857142857,28.3,23.7,0.0
33.3285714286,23.5571428571,76.4285714286,28.4714285714,25.1142857143,1.75714285714
33.4571428571,25.0714285714,78.7142857143,29.4142857143,26.1714285714,5.6
29.1142857143,18.6428571429,72.7142857143,24.0571428571,20.4571428571,3.01428571429
33.6285714286,22.6571428571,71.1428571429,28.7428571429,24.8428571429,0.0
31.9,15.3571428571,56.5714285714,25.0285714286,19.9571428571,0.0
34.3142857143,24.4,77.0,29.2,25.7285714286,0.0
33.8571428571,23.7571428571,73.7142857143,29.2428571429,26.1,0.0
35.1142857143,18.2571428571,55.8571428571,29.2285714286,24.6857142857,0.0
34.5857142857,24.8285714286,76.5714285714,29.8571428571,26.9428571429,0.0
34.8428571429,25.0571428571,75.1428571429,30.2428571429,27.3428571429,0.0
35.7571428571,25.4857142857,74.4285714286,30.8,27.8428571429,0.0
34.1,24.6428571429,75.4285714286,29.6857142857,26.8428571429,6.54285714286
35.3285714286,25.5,74.5714285714,30.8428571429,27.7857142857,0.0
37.6142857143,25.2714285714,70.2857142857,31.8714285714,28.4285714286,0.0
37.1714285714,26.0571428571,71.8571428571,32.1428571429,28.9142857143,0.0
37.4428571429,26.7428571429,75.1428571429,32.3571428571,29.2142857143,0.0
36.5285714286,26.5142857143,75.0,31.6428571429,28.8285714286,4.44285714286
37.1142857143,26.8857142857,71.7142857143,32.9714285714,30.0857142857,0.0
36.4714285714,26.3571428571,75.4285714286,31.3428571429,27.9,7.75714285714
35.9428571429,25.2428571429,71.7142857143,31.2857142857,28.1571428571,0.957142857143
34.5,26.2571428571,78.5714285714,30.5571428571,27.5,11.4714285714
35.0,25.6428571429,75.5714285714,30.6428571429,27.6428571429,3.37142857143
33.8142857143,25.4142857143,79.5714285714,29.7714285714,27.2,16.8571428571
33.0428571429,25.9142857143,86.0,28.5857142857,25.5428571429,31.3571428571
33.1142857143,25.3285714286,80.5714285714,29.2285714286,26.5428571429,10.6714285714
33.6714285714,25.7428571429,83.0,29.0285714286,26.5285714286,8.0
33.6714285714,25.5,81.0,29.5,26.9285714286,2.72857142857
34.5285714286,26.2,79.5714285714,30.3428571429,26.7,7.21428571429
34.0571428571,25.7857142857,79.8571428571,29.6714285714,26.2714285714,3.71428571429
34.2428571429,25.0142857143,75.2857142857,30.0571428571,27.6142857143,6.57142857143
34.1,25.9285714286,84.1428571429,29.1285714286,26.2142857143,18.6285714286
33.5285714286,26.1142857143,82.0,29.6571428571,27.0285714286,2.71428571429
34.9,26.6428571429,83.8571428571,30.0714285714,26.9428571429,19.1
33.6571428571,26.2,82.5714285714,29.2714285714,26.9857142857,3.97142857143
34.2714285714,24.1142857143,75.2857142857,29.3285714286,26.4142857143,8.6
32.6428571429,24.5,79.0,28.7,26.2142857143,9.21428571429
32.5571428571,25.1285714286,86.5714285714,27.8571428571,25.4,30.0
32.9428571429,25.3142857143,82.4285714286,28.8714285714,25.6857142857,1.88571428571
33.2714285714,25.3285714286,83.2857142857,28.4714285714,26.0142857143,9.2
33.6142857143,25.0142857143,81.0,28.9571428571,26.5428571429,6.31428571429
32.9285714286,25.3,80.7142857143,29.1571428571,26.6714285714,6.68571428571
33.1428571429,24.7857142857,81.4285714286,28.6285714286,25.6428571429,15.9285714286
32.5,24.4571428571,80.5714285714,27.9285714286,25.1,6.08571428571
32.4571428571,25.1,83.7142857143,28.5571428571,25.9,5.11428571429
34.9714285714,24.1571428571,70.0,30.4571428571,26.8142857143,0.6
34.1142857143,24.3714285714,77.8571428571,29.1714285714,26.5,9.42857142857
33.1142857143,23.3,70.8571428571,28.5,25.1,0.0
31.8857142857,21.4714285714,70.1428571429,27.7285714286,25.0714285714,0.0
31.5,20.9857142857,67.7142857143,27.6571428571,24.2428571429,0.0
34.0142857143,22.0142857143,70.1428571429,28.4714285714,24.9,0.0
33.1285714286,22.0,66.0,28.3714285714,24.8714285714,0.0
31.5714285714,21.4857142857,71.0,27.3142857143,24.6142857143,0.0
31.2285714286,24.2714285714,85.2857142857,27.1,24.9285714286,6.35714285714
34.0285714286,23.1285714286,70.4285714286,29.2857142857,25.4428571429,0.0857142857143
32.5571428571,21.1714285714,67.0,28.0285714286,24.5,0.0
33.5857142857,21.6285714286,68.5714285714,28.2571428571,24.3,0.0
35.3285714286,19.2571428571,56.8571428571,29.2428571429,24.9857142857,0.0
33.3857142857,17.0285714286,53.8571428571,27.6857142857,23.2714285714,0.0
35.0142857143,23.4857142857,72.0,29.5428571429,26.3857142857,0.0
35.4142857143,22.0571428571,64.7142857143,30.1142857143,26.4285714286,0.0
34.7285714286,24.3285714286,73.7142857143,29.7857142857,27.2285714286,0.0
35.8857142857,25.3714285714,75.7142857143,30.4142857143,27.1428571429,0.114285714286
36.1428571429,24.8857142857,72.2857142857,30.8714285714,27.9857142857,0.0
34.2714285714,24.8428571429,77.4285714286,29.4571428571,26.1,15.1571428571
34.7428571429,24.3142857143,76.1428571429,29.2857142857,26.5,1.08571428571
35.8,25.1571428571,72.5714285714,30.8571428571,28.0857142857,0.0
36.1428571429,23.8,66.8571428571,31.2428571429,28.0571428571,0.0
37.4571428571,24.4285714286,67.1428571429,31.7428571429,28.5714285714,0.742857142857
36.0571428571,25.5571428571,73.1428571429,31.2142857143,27.8428571429,4.45714285714
34.4571428571,25.6571428571,80.7142857143,29.5714285714,26.6428571429,7.14285714286
33.6714285714,25.8,83.2857142857,29.1571428571,26.0714285714,29.2857142857
34.9714285714,26.1,81.8571428571,29.8142857143,27.0571428571,21.6
33.4714285714,26.1,82.4285714286,29.5857142857,27.5142857143,10.3571428571
33.9714285714,25.4857142857,81.1428571429,29.2285714286,26.7285714286,6.74285714286
34.8,23.9857142857,68.7142857143,30.6571428571,27.3142857143,0.0428571428571
34.3142857143,24.5571428571,78.2857142857,29.1142857143,26.1285714286,12.2
33.8285714286,24.5428571429,75.7142857143,29.5,25.8142857143,10.3857142857
33.5,24.6857142857,80.7142857143,28.5714285714,25.7571428571,14.0857142857
32.9571428571,24.4714285714,78.2857142857,28.8714285714,25.8428571429,12.4571428571
32.4428571429,24.0714285714,76.8571428571,28.7142857143,26.2428571429,5.52857142857
32.9857142857,24.0285714286,75.7142857143,28.9428571429,26.4285714286,13.5857142857
33.9,24.9571428571,75.7142857143,30.0,27.8857142857,2.61428571429
34.7142857143,24.7714285714,76.1428571429,29.7428571429,26.6714285714,3.2
34.3571428571,24.9,77.4285714286,29.5142857143,26.6571428571,17.5142857143
33.4428571429,24.5857142857,77.5714285714,29.1142857143,26.6571428571,25.4142857143
33.3857142857,24.4714285714,78.4285714286,28.9,25.7,6.0
34.3428571429,25.3428571429,77.1428571429,30.0285714286,26.6285714286,21.1714285714
34.2571428571,25.3,79.5714285714,29.3857142857,26.7142857143,14.2
33.3714285714,24.4,78.5714285714,28.7571428571,26.4,16.0428571429
33.8857142857,24.9857142857,80.2857142857,28.9714285714,25.4142857143,10.4857142857
30.8,25.1,88.7142857143,27.2428571429,25.9857142857,13.9428571429
32.5571428571,25.5857142857,85.0,28.4571428571,26.0285714286,32.1
33.9428571429,24.6857142857,81.2857142857,28.4714285714,25.9285714286,25.6857142857
33.3428571429,24.3714285714,79.8571428571,28.5285714286,25.0571428571,8.45714285714
32.3428571429,19.9142857143,61.0,28.4428571429,24.9285714286,0.0
31.2285714286,21.3857142857,70.0,27.5428571429,25.2714285714,1.15714285714
33.9571428571,24.7142857143,78.8571428571,29.0,25.9714285714,0.4
32.7,23.5285714286,77.4285714286,28.1,25.6,4.95714285714
